type	name	tbl_name	rootpage	sql
        where ucpu = 0 and utid != 0
      ))
table	cpu_slice_48ad1a41_0029_4feb_9891_bbabdb6312de	cpu_slice_48ad1a41_0029_4feb_9891_bbabdb6312de	0	CREATE VIRTUAL TABLE cpu_slice_48ad1a41_0029_4feb_9891_bbabdb6312de
      using __intrinsic_slice_mipmap((
        select
          id,
          ts,
          iif(dur = -1, lead(ts, 1, trace_end()) over (order by ts) - ts, dur),
          0 as depth
        from sched
        where ucpu = 1 and utid != 0
      ))
table	cpu_slice_8899dc02_42c0_42e9_abcb_72785c9adcb0	cpu_slice_8899dc02_42c0_42e9_abcb_72785c9adcb0	0	CREATE VIRTUAL TABLE cpu_slice_8899dc02_42c0_42e9_abcb_72785c9adcb0
      using __intrinsic_slice_mipmap((
        select
          id,
          ts,
          iif(dur = -1, lead(ts, 1, trace_end()) over (order by ts) - ts, dur),
          0 as depth
        from sched
        where ucpu = 2 and utid != 0
      ))
table	cpu_slice_d3f88df3_ab0f_484b_8226_aad87d603266	cpu_slice_d3f88df3_ab0f_484b_8226_aad87d603266	0	CREATE VIRTUAL TABLE cpu_slice_d3f88df3_ab0f_484b_8226_aad87d603266
      using __intrinsic_slice_mipmap((
        select
          id,
          ts,
          iif(dur = -1, lead(ts, 1, trace_end()) over (order by ts) - ts, dur),
          0 as depth
        from sched
        where ucpu = 3 and utid != 0
      ))
table	cpu_slice_98af1c84_d253_41d2_9084_f5700e6e9aa4	cpu_slice_98af1c84_d253_41d2_9084_f5700e6e9aa4	0	CREATE VIRTUAL TABLE cpu_slice_98af1c84_d253_41d2_9084_f5700e6e9aa4
      using __intrinsic_slice_mipmap((
        select
          id,
          ts,
          iif(dur = -1, lead(ts, 1, trace_end()) over (order by ts) - ts, dur),
          0 as depth
        from sched
        where ucpu = 4 and utid != 0
      ))
